date,home,away,goals_home,goals_away,tournament,et_or_pen
2025-06-09,Faroe Islands,Gibraltar,2,1,2026 WC Q (UEFA),
2025-06-09,Croatia,Czech Republic,5,1,2026 WC Q (UEFA),
2025-09-05,Faroe Islands,Croatia,0,1,2026 WC Q (UEFA),
2025-09-05,Montenegro,Czech Republic,0,2,2026 WC Q (UEFA),
2025-09-08,Gibraltar,Faroe Islands,0,1,2026 WC Q (UEFA),
2025-09-08,Croatia,Montenegro,4,0,2026 WC Q (UEFA),
2025-10-09,Czech Republic,Croatia,0,0,2026 WC Q (UEFA),
2025-10-09,Faroe Islands,Montenegro,4,0,2026 WC Q (UEFA),
2025-10-12,Faroe Islands,Czech Republic,2,1,2026 WC Q (UEFA),
2025-10-12,Croatia,Gibraltar,3,0,2026 WC Q (UEFA),
2025-11-14,Gibraltar,Montenegro,1,2,2026 WC Q (UEFA),
2025-11-14,Croatia,Faroe Islands,3,1,2026 WC Q (UEFA),
2025-11-17,Czech Republic,Gibraltar,6,0,2026 WC Q (UEFA),
2025-11-17,Montenegro,Croatia,2,3,2026 WC Q (UEFA),
2023-11-16,Qatar,Afghanistan,8,1,2026 WC Q (AFC R2),
2023-11-16,Kuwait,India,0,1,2026 WC Q (AFC R2),
2023-11-21,Afghanistan,Kuwait,0,4,2026 WC Q (AFC R2),
2023-11-21,India,Qatar,0,3,2026 WC Q (AFC R2),
2024-03-21,Qatar,Kuwait,3,0,2026 WC Q (AFC R2),
2024-03-21,Afghanistan,India,0,0,2026 WC Q (AFC R2),
2024-03-26,India,Afghanistan,1,2,2026 WC Q (AFC R2),
2024-03-26,Kuwait,Qatar,1,2,2026 WC Q (AFC R2),
2024-06-06,Afghanistan,Qatar,0,0,2026 WC Q (AFC R2),
2024-06-06,India,Kuwait,0,0,2026 WC Q (AFC R2),
2024-06-11,Qatar,India,2,1,2026 WC Q (AFC R2),
2024-06-11,Kuwait,Afghanistan,1,0,2026 WC Q (AFC R2),
2023-11-16,Japan,Myanmar,5,0,2026 WC Q (AFC R2),
2023-11-16,Syria,North Korea,1,0,2026 WC Q (AFC R2),
2023-11-21,Myanmar,North Korea,1,6,2026 WC Q (AFC R2),
2023-11-21,Syria,Japan,0,5,2026 WC Q (AFC R2),
2024-03-21,Japan,North Korea,1,0,2026 WC Q (AFC R2),
2024-03-21,Myanmar,Syria,1,1,2026 WC Q (AFC R2),
2024-03-26,Syria,Myanmar,7,0,2026 WC Q (AFC R2),
2024-06-06,Myanmar,Japan,0,5,2026 WC Q (AFC R2),
2024-06-06,North Korea,Syria,1,0,2026 WC Q (AFC R2),
2024-06-11,Japan,Syria,5,0,2026 WC Q (AFC R2),
2024-06-11,North Korea,Myanmar,4,1,2026 WC Q (AFC R2),
2023-11-16,South Korea,Singapore,5,0,2026 WC Q (AFC R2),
2023-11-16,Thailand,China,1,2,2026 WC Q (AFC R2),
2023-11-21,Singapore,Thailand,1,3,2026 WC Q (AFC R2),
2023-11-21,China,South Korea,0,3,2026 WC Q (AFC R2),
2024-03-21,South Korea,Thailand,1,1,2026 WC Q (AFC R2),
2024-03-21,Singapore,China,2,2,2026 WC Q (AFC R2),
2024-03-26,China,Singapore,4,1,2026 WC Q (AFC R2),
2024-03-26,Thailand,South Korea,0,3,2026 WC Q (AFC R2),
2024-06-06,Singapore,South Korea,0,7,2026 WC Q (AFC R2),
2024-06-06,China,Thailand,1,1,2026 WC Q (AFC R2),
2024-06-11,South Korea,China,1,0,2026 WC Q (AFC R2),
2024-06-11,Thailand,Singapore,3,1,2026 WC Q (AFC R2),
2023-11-16,Oman,Chinese Taipei,3,0,2026 WC Q (AFC R2),
2023-11-16,Malaysia,Kyrgyzstan,4,3,2026 WC Q (AFC R2),
2023-11-21,Chinese Taipei,Malaysia,0,1,2026 WC Q (AFC R2),
2023-11-21,Kyrgyzstan,Oman,1,0,2026 WC Q (AFC R2),
2024-03-21,Chinese Taipei,Kyrgyzstan,0,2,2026 WC Q (AFC R2),
2024-03-21,Oman,Malaysia,2,0,2026 WC Q (AFC R2),
2024-03-26,Kyrgyzstan,Chinese Taipei,5,1,2026 WC Q (AFC R2),
2024-03-26,Malaysia,Oman,0,2,2026 WC Q (AFC R2),
2024-06-06,Chinese Taipei,Oman,0,3,2026 WC Q (AFC R2),
2024-06-06,Kyrgyzstan,Malaysia,1,1,2026 WC Q (AFC R2),
2024-06-11,Oman,Kyrgyzstan,1,1,2026 WC Q (AFC R2),
2024-06-11,Malaysia,Chinese Taipei,3,1,2026 WC Q (AFC R2),
2023-11-16,Iran,Hong Kong,4,0,2026 WC Q (AFC R2),
2023-11-16,Turkmenistan,Uzbekistan,1,3,2026 WC Q (AFC R2),
2023-11-21,Hong Kong,Turkmenistan,2,2,2026 WC Q (AFC R2),
2023-11-21,Uzbekistan,Iran,2,2,2026 WC Q (AFC R2),
2024-03-21,Hong Kong,Uzbekistan,0,2,2026 WC Q (AFC R2),
2024-03-21,Iran,Turkmenistan,5,0,2026 WC Q (AFC R2),
2024-03-26,Uzbekistan,Hong Kong,3,0,2026 WC Q (AFC R2),
2024-03-26,Turkmenistan,Iran,0,1,2026 WC Q (AFC R2),
2024-06-06,Hong Kong,Iran,2,4,2026 WC Q (AFC R2),
2024-06-06,Uzbekistan,Turkmenistan,3,1,2026 WC Q (AFC R2),
2024-06-11,Turkmenistan,Hong Kong,0,0,2026 WC Q (AFC R2),
2024-06-11,Iran,Uzbekistan,0,0,2026 WC Q (AFC R2),
2023-11-16,Iraq,Indonesia,5,1,2026 WC Q (AFC R2),
2023-11-16,Philippines,Vietnam,0,2,2026 WC Q (AFC R2),
2023-11-21,Philippines,Indonesia,1,1,2026 WC Q (AFC R2),
2023-11-21,Vietnam,Iraq,0,1,2026 WC Q (AFC R2),
2024-03-21,Iraq,Philippines,1,0,2026 WC Q (AFC R2),
2024-03-21,Indonesia,Vietnam,1,0,2026 WC Q (AFC R2),
2024-03-26,Vietnam,Indonesia,0,3,2026 WC Q (AFC R2),
2024-03-26,Philippines,Iraq,0,5,2026 WC Q (AFC R2),
2024-06-06,Indonesia,Iraq,0,2,2026 WC Q (AFC R2),
2024-06-06,Vietnam,Philippines,3,2,2026 WC Q (AFC R2),
2024-06-11,Iraq,Vietnam,3,1,2026 WC Q (AFC R2),
2024-06-11,Indonesia,Philippines,2,0,2026 WC Q (AFC R2),
2023-11-16,Saudi Arabia,Pakistan,4,0,2026 WC Q (AFC R2),
2023-11-16,Tajikistan,Jordan,1,1,2026 WC Q (AFC R2),
2023-11-21,Pakistan,Tajikistan,1,6,2026 WC Q (AFC R2),
2023-11-21,Jordan,Saudi Arabia,0,2,2026 WC Q (AFC R2),
2024-03-21,Pakistan,Jordan,0,3,2026 WC Q (AFC R2),
2024-03-21,Saudi Arabia,Tajikistan,1,0,2026 WC Q (AFC R2),
2024-03-26,Jordan,Pakistan,7,0,2026 WC Q (AFC R2),
2024-03-26,Tajikistan,Saudi Arabia,1,1,2026 WC Q (AFC R2),
2024-06-06,Pakistan,Saudi Arabia,0,3,2026 WC Q (AFC R2),
2024-06-06,Jordan,Tajikistan,3,0,2026 WC Q (AFC R2),
2024-06-11,Tajikistan,Pakistan,3,0,2026 WC Q (AFC R2),
2024-06-11,Saudi Arabia,Jordan,1,2,2026 WC Q (AFC R2),
2023-11-16,United Arab Emirates,Nepal,4,0,2026 WC Q (AFC R2),
2023-11-16,Yemen,Bahrain,0,2,2026 WC Q (AFC R2),
2023-11-21,Nepal,Yemen,0,2,2026 WC Q (AFC R2),
2023-11-21,Bahrain,United Arab Emirates,0,2,2026 WC Q (AFC R2),
2024-03-21,United Arab Emirates,Yemen,2,1,2026 WC Q (AFC R2),
2024-03-21,Nepal,Bahrain,0,5,2026 WC Q (AFC R2),
2024-03-26,Bahrain,Nepal,3,0,2026 WC Q (AFC R2),
2024-03-26,Yemen,United Arab Emirates,0,3,2026 WC Q (AFC R2),
2024-06-06,Nepal,United Arab Emirates,0,4,2026 WC Q (AFC R2),
2024-06-06,Bahrain,Yemen,0,0,2026 WC Q (AFC R2),
2024-06-11,United Arab Emirates,Bahrain,1,1,2026 WC Q (AFC R2),
2024-06-11,Yemen,Nepal,2,2,2026 WC Q (AFC R2),
2023-11-16,Australia,Bangladesh,7,0,2026 WC Q (AFC R2),
2023-11-16,Lebanon,Palestine,0,0,2026 WC Q (AFC R2),
2023-11-21,Bangladesh,Lebanon,1,1,2026 WC Q (AFC R2),
2023-11-21,Palestine,Australia,0,1,2026 WC Q (AFC R2),
2024-03-21,Australia,Lebanon,2,0,2026 WC Q (AFC R2),
2024-03-21,Palestine,Bangladesh,5,0,2026 WC Q (AFC R2),
2024-03-26,Bangladesh,Palestine,0,1,2026 WC Q (AFC R2),
2024-03-26,Lebanon,Australia,0,5,2026 WC Q (AFC R2),
2024-06-06,Bangladesh,Australia,0,2,2026 WC Q (AFC R2),
2024-06-06,Palestine,Lebanon,0,0,2026 WC Q (AFC R2),
2024-06-11,Australia,Palestine,5,0,2026 WC Q (AFC R2),
2024-06-11,Lebanon,Bangladesh,4,0,2026 WC Q (AFC R2),
2024-09-05,Uzbekistan,North Korea,1,0,2026 WC Q (AFC R3),
2024-09-05,Iran,Kyrgyzstan,1,0,2026 WC Q (AFC R3),
2024-09-05,Qatar,United Arab Emirates,1,3,2026 WC Q (AFC R3),
2024-09-10,North Korea,Qatar,2,2,2026 WC Q (AFC R3),
2024-09-10,Kyrgyzstan,Uzbekistan,2,3,2026 WC Q (AFC R3),
2024-09-10,United Arab Emirates,Iran,0,1,2026 WC Q (AFC R3),
2024-10-10,Uzbekistan,Iran,0,0,2026 WC Q (AFC R3),
2024-10-10,Qatar,Kyrgyzstan,3,1,2026 WC Q (AFC R3),
2024-10-10,United Arab Emirates,North Korea,1,1,2026 WC Q (AFC R3),
2024-10-15,Uzbekistan,United Arab Emirates,1,0,2026 WC Q (AFC R3),
2024-10-15,Kyrgyzstan,North Korea,1,0,2026 WC Q (AFC R3),
2024-10-15,Iran,Qatar,4,1,2026 WC Q (AFC R3),
2024-11-14,North Korea,Iran,2,3,2026 WC Q (AFC R3),
2024-11-14,Qatar,Uzbekistan,3,2,2026 WC Q (AFC R3),
2024-11-14,United Arab Emirates,Kyrgyzstan,3,0,2026 WC Q (AFC R3),
2024-11-19,North Korea,Uzbekistan,0,1,2026 WC Q (AFC R3),
2024-11-19,Kyrgyzstan,Iran,2,3,2026 WC Q (AFC R3),
2024-11-19,United Arab Emirates,Qatar,5,0,2026 WC Q (AFC R3),
2025-03-20,Uzbekistan,Kyrgyzstan,1,0,2026 WC Q (AFC R3),
2025-03-20,Iran,United Arab Emirates,2,0,2026 WC Q (AFC R3),
2025-03-20,Qatar,North Korea,5,1,2026 WC Q (AFC R3),
2025-03-25,Kyrgyzstan,Qatar,3,1,2026 WC Q (AFC R3),
2025-03-25,Iran,Uzbekistan,2,2,2026 WC Q (AFC R3),
2025-03-25,North Korea,United Arab Emirates,1,2,2026 WC Q (AFC R3),
2025-06-05,United Arab Emirates,Uzbekistan,0,0,2026 WC Q (AFC R3),
2025-06-05,Qatar,Iran,1,0,2026 WC Q (AFC R3),
2025-06-05,North Korea,Kyrgyzstan,2,2,2026 WC Q (AFC R3),
2025-06-10,Uzbekistan,Qatar,3,0,2026 WC Q (AFC R3),
2025-06-10,Kyrgyzstan,United Arab Emirates,1,1,2026 WC Q (AFC R3),
2025-06-10,Iran,North Korea,3,0,2026 WC Q (AFC R3),
2024-09-05,South Korea,Palestine,0,0,2026 WC Q (AFC R3),
2024-09-05,Iraq,Oman,1,0,2026 WC Q (AFC R3),
2024-09-05,Jordan,Kuwait,1,1,2026 WC Q (AFC R3),
2024-09-10,Palestine,Jordan,1,3,2026 WC Q (AFC R3),
2024-09-10,Oman,South Korea,1,3,2026 WC Q (AFC R3),
2024-09-10,Kuwait,Iraq,0,0,2026 WC Q (AFC R3),
2024-10-10,Jordan,South Korea,0,2,2026 WC Q (AFC R3),
2024-10-10,Oman,Kuwait,4,0,2026 WC Q (AFC R3),
2024-10-10,Iraq,Palestine,1,0,2026 WC Q (AFC R3),
2024-10-15,South Korea,Iraq,3,2,2026 WC Q (AFC R3),
2024-10-15,Jordan,Oman,4,0,2026 WC Q (AFC R3),
2024-10-15,Palestine,Kuwait,2,2,2026 WC Q (AFC R3),
2024-11-14,Kuwait,South Korea,1,3,2026 WC Q (AFC R3),
2024-11-14,Oman,Palestine,1,0,2026 WC Q (AFC R3),
2024-11-14,Iraq,Jordan,0,0,2026 WC Q (AFC R3),
2024-11-19,Palestine,South Korea,1,1,2026 WC Q (AFC R3),
2024-11-19,Oman,Iraq,0,1,2026 WC Q (AFC R3),
2024-11-19,Kuwait,Jordan,1,1,2026 WC Q (AFC R3),
2025-03-20,South Korea,Oman,1,1,2026 WC Q (AFC R3),
2025-03-20,Iraq,Kuwait,2,2,2026 WC Q (AFC R3),
2025-03-20,Jordan,Palestine,3,1,2026 WC Q (AFC R3),
2025-03-25,South Korea,Jordan,1,1,2026 WC Q (AFC R3),
2025-03-25,Palestine,Iraq,2,1,2026 WC Q (AFC R3),
2025-03-25,Kuwait,Oman,0,1,2026 WC Q (AFC R3),
2025-06-05,Oman,Jordan,0,3,2026 WC Q (AFC R3),
2025-06-05,Iraq,South Korea,0,2,2026 WC Q (AFC R3),
2025-06-05,Kuwait,Palestine,0,2,2026 WC Q (AFC R3),
2025-06-10,South Korea,Kuwait,4,0,2026 WC Q (AFC R3),
2025-06-10,Jordan,Iraq,0,1,2026 WC Q (AFC R3),
2025-06-10,Palestine,Oman,1,1,2026 WC Q (AFC R3),
2024-09-05,Australia,Bahrain,0,1,2026 WC Q (AFC R3),
2024-09-05,Japan,China,7,0,2026 WC Q (AFC R3),
2024-09-05,Saudi Arabia,Indonesia,1,1,2026 WC Q (AFC R3),
2024-09-10,Indonesia,Australia,0,0,2026 WC Q (AFC R3),
2024-09-10,China,Saudi Arabia,1,2,2026 WC Q (AFC R3),
2024-09-10,Bahrain,Japan,0,5,2026 WC Q (AFC R3),
2024-10-10,Australia,China,3,1,2026 WC Q (AFC R3),
2024-10-10,Bahrain,Indonesia,2,2,2026 WC Q (AFC R3),
2024-10-10,Saudi Arabia,Japan,0,2,2026 WC Q (AFC R3),
2024-10-15,Japan,Australia,1,1,2026 WC Q (AFC R3),
2024-10-15,China,Indonesia,2,1,2026 WC Q (AFC R3),
2024-10-15,Saudi Arabia,Bahrain,0,0,2026 WC Q (AFC R3),
2024-11-14,Australia,Saudi Arabia,0,0,2026 WC Q (AFC R3),
2024-11-14,Bahrain,China,0,1,2026 WC Q (AFC R3),
2024-11-15,Indonesia,Japan,0,4,2026 WC Q (AFC R3),
2024-11-19,China,Japan,1,3,2026 WC Q (AFC R3),
2024-11-19,Indonesia,Saudi Arabia,2,0,2026 WC Q (AFC R3),
2024-11-19,Bahrain,Australia,2,2,2026 WC Q (AFC R3),
2025-03-20,Australia,Indonesia,5,1,2026 WC Q (AFC R3),
2025-03-20,Japan,Bahrain,2,0,2026 WC Q (AFC R3),
2025-03-20,Saudi Arabia,China,1,0,2026 WC Q (AFC R3),
2025-03-25,Japan,Saudi Arabia,0,0,2026 WC Q (AFC R3),
2025-03-25,China,Australia,0,2,2026 WC Q (AFC R3),
2025-03-25,Indonesia,Bahrain,1,0,2026 WC Q (AFC R3),
2025-06-05,Australia,Japan,1,0,2026 WC Q (AFC R3),
2025-06-05,Indonesia,China,1,0,2026 WC Q (AFC R3),
2025-06-05,Bahrain,Saudi Arabia,0,2,2026 WC Q (AFC R3),
2025-06-10,Japan,Indonesia,6,0,2026 WC Q (AFC R3),
2025-06-10,China,Bahrain,1,0,2026 WC Q (AFC R3),
2025-06-10,Saudi Arabia,Australia,1,2,2026 WC Q (AFC R3),
2025-09-04,Suriname,Panama,0,0,2026 WC Q (CONCACAF),
2025-09-04,Guatemala,El Salvador,0,1,2026 WC Q (CONCACAF),
2025-09-08,El Salvador,Suriname,1,2,2026 WC Q (CONCACAF),
2025-09-08,Panama,Guatemala,1,1,2026 WC Q (CONCACAF),
2025-10-10,Suriname,Guatemala,1,1,2026 WC Q (CONCACAF),
2025-10-10,El Salvador,Panama,0,1,2026 WC Q (CONCACAF),
2025-10-14,Panama,Suriname,1,1,2026 WC Q (CONCACAF),
2025-10-14,El Salvador,Guatemala,0,1,2026 WC Q (CONCACAF),
2025-11-13,Suriname,El Salvador,4,0,2026 WC Q (CONCACAF),
2025-11-13,Guatemala,Panama,2,3,2026 WC Q (CONCACAF),
2025-11-18,Guatemala,Suriname,3,1,2026 WC Q (CONCACAF),
2025-11-18,Panama,El Salvador,3,0,2026 WC Q (CONCACAF),
2025-09-05,Bermuda,Jamaica,0,4,2026 WC Q (CONCACAF),
2025-09-05,Trinidad and Tobago,Curaçao,0,0,2026 WC Q (CONCACAF),
2025-09-09,Jamaica,Trinidad and Tobago,2,0,2026 WC Q (CONCACAF),
2025-09-09,Curaçao,Bermuda,3,2,2026 WC Q (CONCACAF),
2025-10-10,Bermuda,Trinidad and Tobago,0,3,2026 WC Q (CONCACAF),
2025-10-10,Curaçao,Jamaica,2,0,2026 WC Q (CONCACAF),
2025-10-14,Curaçao,Trinidad and Tobago,1,1,2026 WC Q (CONCACAF),
2025-10-14,Jamaica,Bermuda,4,0,2026 WC Q (CONCACAF),
2025-11-13,Bermuda,Curaçao,0,7,2026 WC Q (CONCACAF),
2025-11-13,Trinidad and Tobago,Jamaica,1,1,2026 WC Q (CONCACAF),
2025-11-18,Jamaica,Curaçao,0,0,2026 WC Q (CONCACAF),
2025-11-18,Trinidad and Tobago,Bermuda,2,2,2026 WC Q (CONCACAF),
2025-09-05,Haiti,Honduras,0,0,2026 WC Q (CONCACAF),
2025-09-05,Nicaragua,Costa Rica,1,1,2026 WC Q (CONCACAF),
2025-09-09,Costa Rica,Haiti,3,3,2026 WC Q (CONCACAF),
2025-09-09,Honduras,Nicaragua,2,0,2026 WC Q (CONCACAF),
2025-10-09,Nicaragua,Haiti,0,3,2026 WC Q (CONCACAF),
2025-10-09,Honduras,Costa Rica,0,0,2026 WC Q (CONCACAF),
2025-10-13,Honduras,Haiti,3,0,2026 WC Q (CONCACAF),
2025-10-13,Costa Rica,Nicaragua,4,1,2026 WC Q (CONCACAF),
2025-11-13,Haiti,Costa Rica,1,0,2026 WC Q (CONCACAF),
2025-11-13,Nicaragua,Honduras,2,0,2026 WC Q (CONCACAF),
2025-11-18,Costa Rica,Honduras,0,0,2026 WC Q (CONCACAF),
2025-11-18,Haiti,Nicaragua,2,0,2026 WC Q (CONCACAF),
2024-09-06,Cook Islands,Tonga,1,3,2026 WC Q (OFC),
2024-09-06,American Samoa,Samoa,0,2,2026 WC Q (OFC),
2024-10-10,New Caledonia,Papua New Guinea,3,1,2026 WC Q (OFC),
2024-10-10,Solomon Islands,Fiji,0,1,2026 WC Q (OFC),
2024-11-14,Solomon Islands,New Caledonia,2,3,2026 WC Q (OFC),
2024-11-14,Papua New Guinea,Fiji,3,3,2026 WC Q (OFC),
2024-11-17,Fiji,New Caledonia,1,1,2026 WC Q (OFC),
2024-11-17,Papua New Guinea,Solomon Islands,1,2,2026 WC Q (OFC),
2024-10-11,New Zealand,Tahiti,3,0,2026 WC Q (OFC),
2024-10-12,Vanuatu,Samoa,4,1,2026 WC Q (OFC),
2024-11-15,Samoa,Tahiti,0,3,2026 WC Q (OFC),
2024-11-15,New Zealand,Vanuatu,8,1,2026 WC Q (OFC),
2024-11-18,Tahiti,Vanuatu,2,0,2026 WC Q (OFC),
2024-11-18,Samoa,New Zealand,0,8,2026 WC Q (OFC),
2025-03-21,New Caledonia,Tahiti,3,0,2026 WC Q (OFC),
2025-03-21,New Zealand,Fiji,7,0,2026 WC Q (OFC),
2025-03-24,New Caledonia,New Zealand,0,3,2026 WC Q (OFC),
